[2024-09-02 17:06:22] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:07:15] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:07:26] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:08:52] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:09:24] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:09:33] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:09:38] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:09:44] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:10:06] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-02 17:16:12] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Request URI: https://localhost/trabalhoamigo.com.br/src/views/contratante/CriarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

[2024-09-03 12:06:58] IP: ::1 | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Referer: http://localhost/trabalhoamigo.com.br/src/views/contratante/EntrarConta/ | Request URI: http://localhost/trabalhoamigo.com.br/src/views/contratante/EntrarConta/ | Accept-Language: pt-BR,pt;q=0.9,en-US;q=0.8,en;q=0.7 | Accept-Encoding: gzip, deflate, br, zstd | Accept-Charset: N/A | Browser Info: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 | Request Method: GET | Server Software: Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.0.30 | Server Name: localhost 

